,productId,entityId,acquisitionDate,cloudCover,processingLevel,path,row,min_lat,min_lon,max_lat,max_lon,download_url
110074,LC08_L1TP_110074_20140909_20170419_01_T1,LC81100742014252LGN01,2014-09-09 01:50:03.277587,0.0,L1TP,110,74,-21.28189,121.47703999999999,-19.17616,123.68637,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/110/074/LC08_L1TP_110074_20140909_20170419_01_T1/index.html
110077,LC08_L1TP_110077_20140909_20170419_01_T1,LC81100772014252LGN01,2014-09-09 01:51:15.098958,0.04,L1TP,110,77,-25.6079,120.40563,-23.49561,122.68428999999999,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/110/077/LC08_L1TP_110077_20140909_20170419_01_T1/index.html
110078,LC08_L1TP_110078_20140909_20170419_01_T1,LC81100782014252LGN01,2014-09-09 01:51:39.036591,0.01,L1TP,110,78,-27.0478,120.03806000000002,-24.9323,122.34156000000002,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/110/078/LC08_L1TP_110078_20140909_20170419_01_T1/index.html
110079,LC08_L1TP_110079_20140824_20170420_01_T1,LC81100792014236LGN01,2014-08-24 01:51:59.209002,0.05,L1TP,110,79,-28.48912,119.65918,-26.369809999999998,121.99262,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/110/079/LC08_L1TP_110079_20140824_20170420_01_T1/index.html
110080,LC08_L1TP_110080_20140824_20170420_01_T1,LC81100802014236LGN01,2014-08-24 01:52:23.150871,0.0,L1TP,110,80,-29.929009999999998,119.27413,-27.80539000000001,121.63656,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/110/080/LC08_L1TP_110080_20140824_20170420_01_T1/index.html
111073,LC08_L1TP_111073_20140831_20170420_01_T1,LC81110732014243LGN01,2014-08-31 01:55:47.078282,0.49,L1TP,111,73,-19.84029,120.28029,-17.73226,122.4566,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/111/073/LC08_L1TP_111073_20140831_20170420_01_T1/index.html
111074,LC08_L1TP_111074_20140831_20170420_01_T1,LC81110742014243LGN01,2014-08-31 01:56:11.015915,0.22,L1TP,111,74,-21.28375,119.93406999999999,-19.17363,122.13046999999999,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/111/074/LC08_L1TP_111074_20140831_20170420_01_T1/index.html
111075,LC08_L1TP_111075_20140831_20170420_01_T1,LC81110752014243LGN01,2014-08-31 01:56:34.957785,0.0,L1TP,111,75,-22.72881,119.58206000000001,-20.61339,121.79736000000001,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/111/075/LC08_L1TP_111075_20140831_20170420_01_T1/index.html
111076,LC08_L1TP_111076_20140831_20170420_01_T1,LC81110762014243LGN01,2014-08-31 01:56:58.895418,0.0,L1TP,111,76,-24.16994,119.22653000000001,-22.05419,121.46236999999999,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/111/076/LC08_L1TP_111076_20140831_20170420_01_T1/index.html
111077,LC08_L1TP_111077_20140831_20170420_01_T1,LC81110772014243LGN01,2014-08-31 01:57:22.837287,0.01,L1TP,111,77,-25.612460000000002,118.86358999999999,-23.49311,121.12478,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/111/077/LC08_L1TP_111077_20140831_20170420_01_T1/index.html
